cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 1, 0.2, 0, 0
2, 0, 1, 1, 0, 0.1998, 1, 0.5
3, 1, 1, 1, 1, 0.1996, 2, 0.666667
4, 1, 1, 1, 0, 0.199401, 3, 0.75
5, 1, 1, 1, 0, 0.199201, 4, 0.8
6, 1, 1, 1, 0, 0.199002, 5, 0.833333
7, 0, 0, 1, 1, 0.198803, 5, 0.714286
8, 1, 1, 1, 0, 0.198604, 6, 0.75
9, 1, 1, 1, 0, 0.198406, 7, 0.777778
10, 0, 0, 1, 0, 0.198207, 7, 0.7
11, 1, 1, 1, 0, 0.198009, 8, 0.727273
12, 1, 1, 0, 1, 0.197811, 9, 0.75
13, 1, 0, 1, 0, 0.197613, 9, 0.692308
14, 1, 1, 1, 0, 0.197416, 10, 0.714286
15, 1, 1, 1, 0, 0.197218, 11, 0.733333
16, 0, 0, 1, 0, 0.197021, 11, 0.6875
17, 1, 1, 0, 1, 0.196824, 12, 0.705882
18, 1, 0, 1, 0, 0.196627, 12, 0.666667
19, 1, 1, 1, 0, 0.19643, 13, 0.684211
20, 1, 1, 1, 0, 0.196234, 14, 0.7
21, 1, 1, 1, 0, 0.196038, 15, 0.714286
22, 0, 0, 1, 0, 0.195842, 15, 0.681818
23, 1, 1, 1, 0, 0.195646, 16, 0.695652
24, 1, 1, 1, 0, 0.19545, 17, 0.708333
25, 0, 0, 1, 0, 0.195255, 17, 0.68
26, 1, 1, 1, 0, 0.19506, 18, 0.692308
27, 1, 1, 1, 0, 0.194864, 19, 0.703704
28, 1, 1, 1, 0, 0.19467, 20, 0.714286
29, 0, 0, 1, 0, 0.194475, 20, 0.689655
30, 1, 1, 1, 0, 0.19428, 21, 0.7
31, 0, 0, 1, 1, 0.194086, 21, 0.677419
32, 0, 0, 1, 0, 0.193892, 21, 0.65625
33, 1, 1, 1, 0, 0.193698, 22, 0.666667
34, 0, 0, 1, 1, 0.193505, 22, 0.647059
35, 1, 1, 1, 0, 0.193311, 23, 0.657143
36, 1, 1, 1, 0, 0.193118, 24, 0.666667
37, 1, 1, 0, 1, 0.192925, 25, 0.675676
38, 1, 0, 1, 0, 0.192732, 25, 0.657895
39, 1, 1, 1, 0, 0.192539, 26, 0.666667
40, 0, 0, 1, 0, 0.192346, 26, 0.65
41, 1, 1, 1, 1, 0.192154, 27, 0.658537
42, 1, 1, 1, 0, 0.191962, 28, 0.666667
43, 0, 0, 1, 1, 0.19177, 28, 0.651163
44, 1, 1, 1, 0, 0.191578, 29, 0.659091
45, 1, 1, 1, 0, 0.191387, 30, 0.666667
46, 1, 1, 1, 0, 0.191195, 31, 0.673913
47, 1, 1, 1, 0, 0.191004, 32, 0.680851
48, 0, 0, 1, 0, 0.190813, 32, 0.666667
49, 0, 0, 1, 0, 0.190622, 32, 0.653061
50, 1, 1, 1, 0, 0.190432, 33, 0.66
51, 0, 0, 1, 0, 0.190241, 33, 0.647059
52, 1, 1, 0, 1, 0.190051, 34, 0.653846
53, 0, 1, 1, 0, 0.189861, 35, 0.660377
54, 1, 1, 0, 0, 0.189671, 36, 0.666667
55, 1, 0, 1, 0, 0.189481, 36, 0.654545
56, 1, 1, 1, 0, 0.189292, 37, 0.660714
57, 1, 1, 0, 1, 0.189103, 38, 0.666667
58, 1, 0, 0, 1, 0.188913, 38, 0.655172
59, 1, 0, 1, 0, 0.188725, 38, 0.644068
60, 1, 1, 1, 0, 0.188536, 39, 0.65
61, 1, 1, 1, 0, 0.188347, 40, 0.655738
62, 1, 1, 0, 0, 0.188159, 41, 0.66129
63, 0, 1, 0, 0, 0.187971, 42, 0.666667
64, 1, 0, 1, 0, 0.187783, 42, 0.65625
65, 1, 1, 1, 1, 0.187595, 43, 0.661538
66, 1, 1, 1, 1, 0.187407, 44, 0.666667
67, 0, 0, 1, 0, 0.18722, 44, 0.656716
68, 0, 0, 0, 1, 0.187033, 44, 0.647059
69, 1, 0, 1, 0, 0.186846, 44, 0.637681
70, 1, 1, 1, 0, 0.186659, 45, 0.642857
71, 1, 1, 1, 0, 0.186472, 46, 0.647887
72, 0, 0, 1, 0, 0.186286, 46, 0.638889
73, 1, 1, 1, 0, 0.186099, 47, 0.643836
74, 1, 1, 1, 0, 0.185913, 48, 0.648649
75, 1, 1, 1, 0, 0.185727, 49, 0.653333
76, 1, 1, 0, 0, 0.185542, 50, 0.657895
77, 1, 0, 1, 1, 0.185356, 50, 0.649351
78, 1, 1, 1, 0, 0.185171, 51, 0.653846
79, 1, 1, 0, 1, 0.184986, 52, 0.658228
80, 1, 0, 1, 0, 0.184801, 52, 0.65
81, 1, 1, 0, 1, 0.184616, 53, 0.654321
82, 1, 0, 1, 0, 0.184431, 53, 0.646341
83, 1, 1, 1, 0, 0.184247, 54, 0.650602
84, 1, 1, 0, 1, 0.184063, 55, 0.654762
85, 1, 0, 1, 0, 0.183879, 55, 0.647059
86, 1, 1, 1, 0, 0.183695, 56, 0.651163
87, 1, 1, 1, 0, 0.183511, 57, 0.655172
88, 1, 1, 1, 0, 0.183327, 58, 0.659091
89, 1, 1, 0, 1, 0.183144, 59, 0.662921
90, 0, 1, 1, 0, 0.182961, 60, 0.666667
91, 1, 1, 1, 1, 0.182778, 61, 0.67033
92, 1, 1, 1, 0, 0.182595, 62, 0.673913
93, 1, 1, 1, 0, 0.182413, 63, 0.677419
94, 1, 1, 1, 0, 0.18223, 64, 0.680851
95, 0, 0, 1, 0, 0.182048, 64, 0.673684
96, 1, 1, 1, 1, 0.181866, 65, 0.677083
97, 1, 1, 1, 0, 0.181684, 66, 0.680412
98, 1, 1, 1, 0, 0.181502, 67, 0.683673
99, 1, 1, 1, 0, 0.181321, 68, 0.686869
100, 0, 0, 1, 0, 0.18114, 68, 0.68
101, 1, 1, 1, 0, 0.180958, 69, 0.683168
102, 1, 1, 1, 0, 0.180777, 70, 0.686275
103, 0, 0, 1, 0, 0.180597, 70, 0.679612
104, 1, 1, 1, 0, 0.180416, 71, 0.682692
105, 1, 1, 0, 1, 0.180236, 72, 0.685714
106, 1, 0, 0, 1, 0.180055, 72, 0.679245
107, 1, 0, 0, 0, 0.179875, 72, 0.672897
108, 1, 0, 1, 0, 0.179696, 72, 0.666667
109, 1, 1, 1, 0, 0.179516, 73, 0.669725
110, 1, 1, 1, 0, 0.179336, 74, 0.672727
111, 1, 1, 0, 0, 0.179157, 75, 0.675676
112, 0, 1, 1, 0, 0.178978, 76, 0.678571
113, 1, 1, 0, 0, 0.178799, 77, 0.681416
114, 1, 0, 1, 0, 0.17862, 77, 0.675439
115, 1, 1, 1, 0, 0.178441, 78, 0.678261
116, 1, 1, 1, 0, 0.178263, 79, 0.681034
117, 0, 0, 1, 0, 0.178085, 79, 0.675214
118, 1, 1, 1, 0, 0.177907, 80, 0.677966
119, 0, 0, 1, 0, 0.177729, 80, 0.672269
120, 1, 1, 1, 0, 0.177551, 81, 0.675
121, 1, 1, 1, 0, 0.177373, 82, 0.677686
122, 1, 1, 0, 0, 0.177196, 83, 0.680328
123, 0, 1, 1, 0, 0.177019, 84, 0.682927
124, 0, 0, 1, 0, 0.176842, 84, 0.677419
125, 1, 1, 0, 0, 0.176665, 85, 0.68
126, 1, 0, 1, 0, 0.176488, 85, 0.674603
127, 1, 1, 1, 0, 0.176312, 86, 0.677165
128, 1, 1, 1, 0, 0.176136, 87, 0.679688
129, 1, 1, 0, 1, 0.175959, 88, 0.682171
130, 1, 0, 1, 0, 0.175783, 88, 0.676923
131, 1, 1, 1, 0, 0.175608, 89, 0.679389
132, 1, 1, 1, 0, 0.175432, 90, 0.681818
133, 1, 1, 0, 0, 0.175257, 91, 0.684211
134, 0, 1, 0, 0, 0.175081, 92, 0.686567
135, 1, 0, 1, 0, 0.174906, 92, 0.681481
136, 1, 1, 1, 0, 0.174731, 93, 0.683824
137, 1, 1, 1, 0, 0.174557, 94, 0.686131
138, 1, 1, 0, 0, 0.174382, 95, 0.688406
139, 1, 0, 1, 0, 0.174208, 95, 0.683453
140, 0, 0, 1, 0, 0.174034, 95, 0.678571
141, 0, 0, 1, 0, 0.173859, 95, 0.673759
142, 0, 0, 1, 0, 0.173686, 95, 0.669014
143, 1, 1, 0, 0, 0.173512, 96, 0.671329
144, 0, 1, 1, 0, 0.173338, 97, 0.673611
145, 1, 1, 1, 0, 0.173165, 98, 0.675862
146, 1, 1, 0, 0, 0.172992, 99, 0.678082
147, 1, 0, 1, 0, 0.172819, 99, 0.673469
148, 1, 1, 1, 0, 0.172646, 100, 0.675676
149, 1, 1, 1, 1, 0.172473, 101, 0.677852
150, 1, 1, 1, 0, 0.172301, 102, 0.68
151, 0, 0, 1, 0, 0.172129, 102, 0.675497
152, 1, 1, 1, 0, 0.171957, 103, 0.677632
153, 1, 1, 0, 1, 0.171785, 104, 0.679739
154, 1, 0, 1, 0, 0.171613, 104, 0.675325
155, 1, 1, 1, 0, 0.171441, 105, 0.677419
156, 1, 1, 1, 0, 0.17127, 106, 0.679487
157, 1, 1, 0, 1, 0.171098, 107, 0.681529
158, 0, 1, 1, 1, 0.170927, 108, 0.683544
159, 1, 1, 1, 1, 0.170756, 109, 0.685535
160, 1, 1, 1, 1, 0.170586, 110, 0.6875
161, 1, 1, 0, 0, 0.170415, 111, 0.689441
162, 1, 0, 1, 0, 0.170245, 111, 0.685185
163, 1, 1, 1, 0, 0.170074, 112, 0.687117
164, 1, 1, 1, 0, 0.169904, 113, 0.689024
165, 1, 1, 0, 0, 0.169734, 114, 0.690909
166, 1, 0, 1, 0, 0.169565, 114, 0.686747
167, 1, 1, 0, 1, 0.169395, 115, 0.688623
168, 0, 1, 0, 0, 0.169226, 116, 0.690476
169, 1, 0, 1, 0, 0.169057, 116, 0.686391
170, 1, 1, 1, 0, 0.168887, 117, 0.688235
171, 1, 1, 1, 0, 0.168719, 118, 0.690058
172, 1, 1, 0, 0, 0.16855, 119, 0.69186
173, 1, 0, 1, 0, 0.168381, 119, 0.687861
174, 0, 0, 1, 0, 0.168213, 119, 0.683908
175, 0, 0, 1, 0, 0.168045, 119, 0.68
176, 1, 1, 0, 0, 0.167877, 120, 0.681818
177, 1, 0, 1, 0, 0.167709, 120, 0.677966
178, 1, 1, 1, 0, 0.167541, 121, 0.679775
179, 1, 1, 1, 0, 0.167374, 122, 0.681564
180, 1, 1, 1, 1, 0.167206, 123, 0.683333
181, 1, 1, 1, 0, 0.167039, 124, 0.685083
182, 1, 1, 1, 0, 0.166872, 125, 0.686813
183, 1, 1, 1, 0, 0.166705, 126, 0.688525
184, 1, 1, 1, 0, 0.166538, 127, 0.690217
185, 1, 1, 1, 0, 0.166372, 128, 0.691892
186, 0, 0, 1, 0, 0.166205, 128, 0.688172
187, 1, 1, 1, 0, 0.166039, 129, 0.68984
188, 1, 1, 1, 0, 0.165873, 130, 0.691489
189, 1, 1, 1, 0, 0.165707, 131, 0.693122
190, 1, 1, 1, 0, 0.165542, 132, 0.694737
191, 1, 1, 1, 0, 0.165376, 133, 0.696335
192, 0, 0, 1, 0, 0.165211, 133, 0.692708
193, 1, 1, 1, 0, 0.165046, 134, 0.694301
194, 1, 1, 1, 1, 0.16488, 135, 0.695876
195, 0, 0, 1, 0, 0.164716, 135, 0.692308
196, 1, 1, 1, 0, 0.164551, 136, 0.693878
197, 1, 1, 0, 0, 0.164386, 137, 0.695431
198, 1, 0, 1, 0, 0.164222, 137, 0.691919
199, 1, 1, 1, 0, 0.164058, 138, 0.693467
200, 1, 1, 1, 0, 0.163894, 139, 0.695
201, 0, 0, 1, 0, 0.16373, 139, 0.691542
202, 0, 0, 0, 1, 0.163566, 139, 0.688119
203, 1, 0, 1, 0, 0.163402, 139, 0.684729
204, 1, 1, 1, 0, 0.163239, 140, 0.686275
205, 1, 1, 1, 0, 0.163076, 141, 0.687805
206, 0, 0, 1, 1, 0.162913, 141, 0.684466
207, 1, 1, 1, 0, 0.16275, 142, 0.68599
208, 1, 1, 1, 0, 0.162587, 143, 0.6875
209, 0, 0, 1, 0, 0.162425, 143, 0.684211
210, 1, 1, 1, 0, 0.162262, 144, 0.685714
211, 1, 1, 1, 0, 0.1621, 145, 0.687204
212, 1, 1, 0, 0, 0.161938, 146, 0.688679
213, 1, 0, 1, 0, 0.161776, 146, 0.685446
214, 1, 1, 1, 0, 0.161614, 147, 0.686916
215, 1, 1, 0, 0, 0.161452, 148, 0.688372
216, 1, 0, 1, 0, 0.161291, 148, 0.685185
217, 1, 1, 1, 0, 0.16113, 149, 0.686636
218, 0, 0, 1, 1, 0.160969, 149, 0.683486
219, 0, 0, 1, 0, 0.160808, 149, 0.680365
220, 0, 0, 1, 1, 0.160647, 149, 0.677273
221, 1, 1, 0, 0, 0.160486, 150, 0.678733
222, 1, 0, 1, 0, 0.160326, 150, 0.675676
223, 1, 1, 1, 0, 0.160165, 151, 0.67713
224, 0, 0, 1, 0, 0.160005, 151, 0.674107
225, 1, 1, 1, 0, 0.159845, 152, 0.675556
226, 1, 1, 1, 0, 0.159685, 153, 0.676991
227, 1, 1, 0, 0, 0.159526, 154, 0.678414
228, 1, 0, 1, 0, 0.159366, 154, 0.675439
229, 1, 1, 1, 0, 0.159207, 155, 0.676856
230, 0, 0, 1, 0, 0.159047, 155, 0.673913
231, 1, 1, 1, 0, 0.158888, 156, 0.675325
232, 0, 0, 1, 0, 0.15873, 156, 0.672414
233, 1, 1, 1, 0, 0.158571, 157, 0.67382
234, 1, 1, 1, 0, 0.158412, 158, 0.675214
235, 1, 1, 0, 1, 0.158254, 159, 0.676596
236, 1, 0, 0, 1, 0.158096, 159, 0.673729
237, 0, 1, 1, 0, 0.157937, 160, 0.675105
238, 1, 1, 0, 0, 0.15778, 161, 0.676471
239, 1, 0, 1, 0, 0.157622, 161, 0.67364
240, 1, 1, 1, 0, 0.157464, 162, 0.675
241, 1, 1, 1, 0, 0.157307, 163, 0.676349
242, 1, 1, 0, 0, 0.157149, 164, 0.677686
243, 1, 0, 0, 1, 0.156992, 164, 0.674897
244, 1, 0, 1, 1, 0.156835, 164, 0.672131
245, 0, 0, 0, 0, 0.156678, 164, 0.669388
246, 1, 0, 1, 0, 0.156522, 164, 0.666667
247, 0, 0, 1, 0, 0.156365, 164, 0.663968
248, 1, 1, 1, 0, 0.156209, 165, 0.665323
249, 1, 1, 1, 0, 0.156053, 166, 0.666667
250, 1, 1, 1, 0, 0.155897, 167, 0.668
251, 1, 1, 1, 0, 0.155741, 168, 0.669323
252, 1, 1, 0, 0, 0.155585, 169, 0.670635
253, 1, 0, 1, 0, 0.155429, 169, 0.667984
254, 1, 1, 1, 0, 0.155274, 170, 0.669291
255, 1, 1, 0, 1, 0.155119, 171, 0.670588
256, 1, 0, 1, 0, 0.154964, 171, 0.667969
257, 1, 1, 1, 0, 0.154809, 172, 0.669261
258, 1, 1, 0, 1, 0.154654, 173, 0.670543
259, 0, 1, 1, 0, 0.154499, 174, 0.671815
260, 1, 1, 1, 1, 0.154345, 175, 0.673077
261, 0, 0, 1, 0, 0.15419, 175, 0.670498
262, 0, 0, 1, 0, 0.154036, 175, 0.667939
263, 1, 1, 1, 0, 0.153882, 176, 0.669202
264, 1, 1, 1, 0, 0.153728, 177, 0.670455
265, 1, 1, 0, 1, 0.153574, 178, 0.671698
266, 1, 0, 1, 0, 0.153421, 178, 0.669173
267, 1, 1, 1, 0, 0.153267, 179, 0.670412
268, 1, 1, 1, 0, 0.153114, 180, 0.671642
269, 1, 1, 1, 0, 0.152961, 181, 0.672862
270, 1, 1, 1, 0, 0.152808, 182, 0.674074
271, 1, 1, 1, 0, 0.152655, 183, 0.675277
272, 1, 1, 1, 0, 0.152503, 184, 0.676471
273, 1, 1, 0, 0, 0.15235, 185, 0.677656
274, 1, 0, 1, 0, 0.152198, 185, 0.675182
275, 1, 1, 1, 0, 0.152046, 186, 0.676364
276, 0, 0, 1, 0, 0.151894, 186, 0.673913
277, 1, 1, 1, 0, 0.151742, 187, 0.67509
278, 1, 1, 1, 0, 0.15159, 188, 0.676259
279, 0, 0, 1, 0, 0.151438, 188, 0.673835
280, 1, 1, 0, 1, 0.151287, 189, 0.675
281, 1, 0, 1, 0, 0.151136, 189, 0.672598
282, 1, 1, 1, 0, 0.150984, 190, 0.673759
283, 1, 1, 1, 0, 0.150833, 191, 0.674912
284, 1, 1, 1, 1, 0.150683, 192, 0.676056
285, 1, 1, 1, 0, 0.150532, 193, 0.677193
286, 1, 1, 0, 0, 0.150381, 194, 0.678322
287, 1, 0, 1, 0, 0.150231, 194, 0.675958
288, 1, 1, 1, 0, 0.150081, 195, 0.677083
289, 1, 1, 1, 0, 0.149931, 196, 0.678201
290, 0, 0, 1, 0, 0.149781, 196, 0.675862
291, 1, 1, 1, 0, 0.149631, 197, 0.676976
292, 1, 1, 1, 0, 0.149481, 198, 0.678082
293, 1, 1, 1, 0, 0.149332, 199, 0.679181
294, 1, 1, 1, 0, 0.149183, 200, 0.680272
295, 1, 1, 0, 0, 0.149033, 201, 0.681356
296, 1, 0, 1, 0, 0.148884, 201, 0.679054
297, 1, 1, 1, 0, 0.148735, 202, 0.680135
298, 1, 1, 1, 0, 0.148587, 203, 0.681208
299, 1, 1, 1, 1, 0.148438, 204, 0.682274
300, 0, 0, 1, 1, 0.14829, 204, 0.68
301, 1, 1, 1, 0, 0.148141, 205, 0.681063
302, 1, 1, 1, 0, 0.147993, 206, 0.682119
303, 1, 1, 1, 1, 0.147845, 207, 0.683168
304, 1, 1, 1, 0, 0.147697, 208, 0.684211
305, 1, 1, 0, 0, 0.14755, 209, 0.685246
306, 1, 0, 1, 0, 0.147402, 209, 0.683007
307, 0, 0, 1, 0, 0.147255, 209, 0.680782
308, 1, 1, 1, 0, 0.147108, 210, 0.681818
309, 0, 0, 0, 1, 0.14696, 210, 0.679612
310, 1, 0, 1, 0, 0.146813, 210, 0.677419
311, 1, 1, 0, 1, 0.146667, 211, 0.678457
312, 1, 0, 1, 0, 0.14652, 211, 0.676282
313, 1, 1, 1, 0, 0.146373, 212, 0.677316
314, 1, 1, 1, 0, 0.146227, 213, 0.678344
315, 1, 1, 1, 0, 0.146081, 214, 0.679365
316, 1, 1, 0, 0, 0.145935, 215, 0.68038
317, 1, 0, 1, 0, 0.145789, 215, 0.678233
318, 0, 0, 1, 0, 0.145643, 215, 0.676101
319, 1, 1, 1, 0, 0.145497, 216, 0.677116
320, 1, 1, 1, 0, 0.145352, 217, 0.678125
321, 1, 1, 1, 0, 0.145207, 218, 0.679128
322, 0, 0, 1, 0, 0.145061, 218, 0.677019
323, 1, 1, 1, 0, 0.144916, 219, 0.678019
324, 1, 1, 1, 0, 0.144771, 220, 0.679012
325, 0, 0, 1, 0, 0.144627, 220, 0.676923
326, 1, 1, 1, 0, 0.144482, 221, 0.677914
327, 1, 1, 1, 0, 0.144337, 222, 0.678899
328, 1, 1, 1, 0, 0.144193, 223, 0.679878
329, 1, 1, 1, 0, 0.144049, 224, 0.680851
330, 1, 1, 0, 0, 0.143905, 225, 0.681818
331, 1, 0, 1, 0, 0.143761, 225, 0.679758
332, 1, 1, 1, 0, 0.143617, 226, 0.680723
333, 0, 0, 1, 0, 0.143474, 226, 0.678679
334, 1, 1, 1, 0, 0.14333, 227, 0.679641
335, 1, 1, 1, 0, 0.143187, 228, 0.680597
336, 1, 1, 1, 0, 0.143044, 229, 0.681548
337, 0, 0, 1, 1, 0.142901, 229, 0.679525
338, 1, 1, 1, 0, 0.142758, 230, 0.680473
339, 1, 1, 1, 0, 0.142615, 231, 0.681416
340, 0, 0, 0, 1, 0.142472, 231, 0.679412
341, 1, 0, 1, 0, 0.14233, 231, 0.677419
342, 1, 1, 1, 1, 0.142188, 232, 0.678363
343, 1, 1, 1, 0, 0.142045, 233, 0.6793
344, 0, 0, 1, 0, 0.141903, 233, 0.677326
345, 1, 1, 1, 0, 0.141761, 234, 0.678261
346, 1, 1, 1, 0, 0.14162, 235, 0.679191
347, 1, 1, 1, 0, 0.141478, 236, 0.680115
348, 0, 0, 0, 1, 0.141337, 236, 0.678161
349, 1, 0, 0, 1, 0.141195, 236, 0.676218
350, 1, 0, 1, 0, 0.141054, 236, 0.674286
351, 1, 1, 1, 1, 0.140913, 237, 0.675214
352, 1, 1, 1, 1, 0.140772, 238, 0.676136
353, 0, 0, 1, 0, 0.140631, 238, 0.674221
354, 0, 0, 1, 0, 0.140491, 238, 0.672316
355, 0, 0, 1, 0, 0.14035, 238, 0.670423
356, 1, 1, 1, 1, 0.14021, 239, 0.671348
357, 1, 1, 1, 0, 0.14007, 240, 0.672269
358, 1, 1, 1, 0, 0.13993, 241, 0.673184
359, 1, 1, 0, 0, 0.13979, 242, 0.674095
360, 0, 1, 1, 0, 0.13965, 243, 0.675
361, 1, 1, 1, 0, 0.13951, 244, 0.6759
362, 1, 1, 0, 0, 0.139371, 245, 0.676796
363, 1, 0, 1, 0, 0.139231, 245, 0.674931
364, 1, 1, 1, 0, 0.139092, 246, 0.675824
365, 1, 1, 1, 1, 0.138953, 247, 0.676712
366, 1, 1, 1, 0, 0.138814, 248, 0.677596
367, 1, 1, 1, 0, 0.138675, 249, 0.678474
368, 1, 1, 1, 0, 0.138536, 250, 0.679348
369, 1, 1, 1, 0, 0.138398, 251, 0.680217
370, 1, 1, 1, 0, 0.13826, 252, 0.681081
371, 0, 0, 1, 0, 0.138121, 252, 0.679245
372, 1, 1, 1, 0, 0.137983, 253, 0.680108
373, 1, 1, 1, 0, 0.137845, 254, 0.680965
374, 0, 0, 1, 0, 0.137707, 254, 0.679144
375, 1, 1, 0, 1, 0.13757, 255, 0.68
376, 1, 0, 0, 1, 0.137432, 255, 0.678191
377, 1, 0, 1, 0, 0.137295, 255, 0.676393
378, 1, 1, 1, 0, 0.137157, 256, 0.677249
379, 1, 1, 1, 0, 0.13702, 257, 0.6781
380, 0, 0, 1, 0, 0.136883, 257, 0.676316
381, 1, 1, 0, 1, 0.136746, 258, 0.677165
382, 1, 0, 1, 0, 0.13661, 258, 0.675393
383, 1, 1, 1, 0, 0.136473, 259, 0.67624
384, 1, 1, 1, 0, 0.136336, 260, 0.677083
385, 1, 1, 1, 0, 0.1362, 261, 0.677922
386, 1, 1, 1, 0, 0.136064, 262, 0.678756
387, 0, 0, 1, 0, 0.135928, 262, 0.677003
388, 1, 1, 1, 0, 0.135792, 263, 0.677835
389, 1, 1, 1, 0, 0.135656, 264, 0.678663
390, 0, 0, 1, 0, 0.13552, 264, 0.676923
391, 1, 1, 1, 0, 0.135385, 265, 0.677749
392, 1, 1, 1, 0, 0.13525, 266, 0.678571
393, 1, 1, 0, 0, 0.135114, 267, 0.679389
394, 1, 0, 1, 0, 0.134979, 267, 0.677665
395, 0, 0, 1, 0, 0.134844, 267, 0.675949
396, 1, 1, 1, 0, 0.134709, 268, 0.676768
397, 1, 1, 1, 0, 0.134575, 269, 0.677582
398, 1, 1, 1, 0, 0.13444, 270, 0.678392
399, 1, 1, 1, 0, 0.134306, 271, 0.679198
400, 0, 0, 1, 0, 0.134171, 271, 0.6775
401, 0, 0, 1, 0, 0.134037, 271, 0.67581
402, 1, 1, 1, 0, 0.133903, 272, 0.676617
403, 1, 1, 1, 0, 0.133769, 273, 0.677419
404, 1, 1, 1, 0, 0.133635, 274, 0.678218
405, 1, 1, 1, 0, 0.133502, 275, 0.679012
406, 1, 1, 1, 0, 0.133368, 276, 0.679803
407, 1, 1, 0, 0, 0.133235, 277, 0.68059
408, 0, 1, 0, 1, 0.133102, 278, 0.681373
409, 1, 0, 1, 0, 0.132969, 278, 0.679707
410, 1, 1, 1, 0, 0.132836, 279, 0.680488
411, 1, 1, 1, 0, 0.132703, 280, 0.681265
412, 1, 1, 1, 0, 0.13257, 281, 0.682039
413, 1, 1, 1, 0, 0.132438, 282, 0.682809
414, 0, 0, 1, 0, 0.132305, 282, 0.681159
415, 1, 1, 1, 0, 0.132173, 283, 0.681928
416, 0, 0, 1, 0, 0.132041, 283, 0.680288
417, 1, 1, 1, 0, 0.131909, 284, 0.681055
418, 1, 1, 1, 0, 0.131777, 285, 0.681818
419, 1, 1, 1, 0, 0.131645, 286, 0.682578
420, 1, 1, 1, 0, 0.131513, 287, 0.683333
421, 1, 1, 1, 1, 0.131382, 288, 0.684086
422, 1, 1, 1, 0, 0.13125, 289, 0.684834
423, 1, 1, 1, 1, 0.131119, 290, 0.685579
424, 1, 1, 1, 0, 0.130988, 291, 0.686321
425, 1, 1, 0, 1, 0.130857, 292, 0.687059
426, 1, 0, 1, 0, 0.130726, 292, 0.685446
427, 1, 1, 1, 0, 0.130595, 293, 0.686183
428, 1, 1, 1, 0, 0.130465, 294, 0.686916
429, 1, 1, 0, 1, 0.130334, 295, 0.687646
430, 1, 0, 1, 0, 0.130204, 295, 0.686047
431, 1, 1, 1, 0, 0.130074, 296, 0.686775
432, 0, 0, 1, 0, 0.129944, 296, 0.685185
433, 1, 1, 1, 0, 0.129814, 297, 0.685912
434, 1, 1, 1, 0, 0.129684, 298, 0.686636
435, 1, 1, 1, 0, 0.129554, 299, 0.687356
436, 1, 1, 0, 1, 0.129425, 300, 0.688073
437, 0, 1, 1, 0, 0.129295, 301, 0.688787
438, 1, 1, 1, 0, 0.129166, 302, 0.689498
439, 1, 1, 0, 0, 0.129037, 303, 0.690205
440, 0, 1, 1, 1, 0.128908, 304, 0.690909
441, 1, 1, 1, 1, 0.128779, 305, 0.69161
442, 1, 1, 1, 1, 0.12865, 306, 0.692308
443, 1, 1, 0, 0, 0.128522, 307, 0.693002
444, 0, 1, 1, 0, 0.128393, 308, 0.693694
445, 1, 1, 1, 0, 0.128265, 309, 0.694382
446, 1, 1, 0, 0, 0.128136, 310, 0.695067
447, 1, 0, 1, 0, 0.128008, 310, 0.693512
448, 1, 1, 1, 1, 0.12788, 311, 0.694196
449, 0, 0, 1, 0, 0.127752, 311, 0.69265
450, 1, 1, 1, 0, 0.127625, 312, 0.693333
451, 1, 1, 1, 0, 0.127497, 313, 0.694013
452, 1, 1, 1, 0, 0.127369, 314, 0.69469
453, 1, 1, 1, 0, 0.127242, 315, 0.695364
454, 0, 0, 1, 1, 0.127115, 315, 0.693833
455, 0, 0, 0, 1, 0.126988, 315, 0.692308
456, 1, 0, 1, 0, 0.126861, 315, 0.690789
457, 1, 1, 1, 0, 0.126734, 316, 0.691466
458, 1, 1, 1, 0, 0.126607, 317, 0.69214
459, 1, 1, 1, 0, 0.126481, 318, 0.69281
460, 1, 1, 1, 0, 0.126354, 319, 0.693478
461, 1, 1, 1, 0, 0.126228, 320, 0.694143
462, 1, 1, 1, 0, 0.126101, 321, 0.694805
463, 1, 1, 1, 0, 0.125975, 322, 0.695464
464, 1, 1, 1, 0, 0.125849, 323, 0.696121
465, 0, 0, 0, 1, 0.125724, 323, 0.694624
466, 1, 0, 1, 0, 0.125598, 323, 0.693133
467, 1, 1, 1, 0, 0.125472, 324, 0.69379
468, 1, 1, 1, 0, 0.125347, 325, 0.694444
469, 0, 0, 0, 1, 0.125221, 325, 0.692964
470, 1, 0, 1, 0, 0.125096, 325, 0.691489
471, 1, 1, 1, 0, 0.124971, 326, 0.692144
472, 0, 0, 1, 0, 0.124846, 326, 0.690678
473, 1, 1, 1, 0, 0.124721, 327, 0.691332
474, 1, 1, 0, 1, 0.124597, 328, 0.691983
475, 1, 0, 1, 0, 0.124472, 328, 0.690526
476, 1, 1, 0, 1, 0.124347, 329, 0.691176
477, 1, 0, 1, 0, 0.124223, 329, 0.689727
478, 0, 0, 1, 0, 0.124099, 329, 0.688285
479, 0, 0, 1, 0, 0.123975, 329, 0.686848
480, 1, 1, 1, 0, 0.123851, 330, 0.6875
481, 1, 1, 1, 0, 0.123727, 331, 0.68815
482, 1, 1, 1, 0, 0.123603, 332, 0.688797
